epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.7043,1.96645,1.99536,1.48485,0.66214,0.46005,0.51614,0.2655,1.83375,1.74784,1.48154,0.00332483,0.00332483,0.00332483
2,154.73,1.6225,1.30733,1.20595,0.63128,0.46046,0.50098,0.26251,1.84542,1.71307,1.51237,0.00659225,0.00659225,0.00659225
3,231.535,1.51233,1.14134,1.15277,0.57932,0.40062,0.42565,0.19997,2.23658,2.20282,1.82657,0.00979366,0.00979366,0.00979366
4,304.946,1.42305,1.04757,1.13167,0.61184,0.43078,0.47134,0.24177,1.98833,1.85614,1.66651,0.009703,0.009703,0.009703
5,378.583,1.30099,0.93392,1.09132,0.62596,0.46168,0.50507,0.25488,2.06114,1.74171,1.69735,0.009604,0.009604,0.009604
6,452.375,1.22661,0.87265,1.06334,0.67796,0.47861,0.535,0.2867,1.88905,1.63802,1.59114,0.009505,0.009505,0.009505
7,524.804,1.1826,0.83118,1.04999,0.67835,0.48475,0.5435,0.29161,1.85503,1.58117,1.56687,0.009406,0.009406,0.009406
8,596.976,1.13884,0.79889,1.03404,0.69475,0.4851,0.554,0.30016,1.87953,1.58325,1.5986,0.009307,0.009307,0.009307
9,668.578,1.10781,0.76967,1.02534,0.70363,0.49877,0.56433,0.30837,1.83477,1.5203,1.5334,0.009208,0.009208,0.009208
10,741.014,1.08511,0.75282,1.01903,0.70951,0.51601,0.57404,0.31606,1.82232,1.53693,1.5382,0.009109,0.009109,0.009109
11,814.298,1.07629,0.74057,1.01704,0.72104,0.50603,0.58122,0.32024,1.80124,1.45065,1.52684,0.00901,0.00901,0.00901
12,890.222,1.04114,0.7229,1.00528,0.71798,0.51278,0.58526,0.32691,1.75096,1.42859,1.4777,0.008911,0.008911,0.008911
13,965.2,1.02783,0.70675,0.99929,0.7306,0.50474,0.58033,0.32127,1.78796,1.42003,1.47912,0.008812,0.008812,0.008812
14,1040.47,1.01512,0.70089,0.99689,0.72515,0.51535,0.58876,0.33228,1.73954,1.39963,1.46476,0.008713,0.008713,0.008713
15,1116.72,0.99884,0.68577,0.98986,0.73229,0.51542,0.58989,0.3337,1.75344,1.39972,1.47296,0.008614,0.008614,0.008614
16,1189.21,0.98904,0.67839,0.98826,0.73002,0.53271,0.60316,0.34331,1.72285,1.36902,1.45776,0.008515,0.008515,0.008515
17,1261.75,0.97235,0.66716,0.98476,0.73847,0.52933,0.60251,0.34349,1.73236,1.37787,1.45064,0.008416,0.008416,0.008416
18,1333.21,0.96324,0.66352,0.98179,0.7442,0.52849,0.60373,0.34504,1.71184,1.36086,1.44091,0.008317,0.008317,0.008317
19,1404.7,0.95261,0.65334,0.97676,0.74807,0.53276,0.60898,0.34931,1.7059,1.34972,1.44156,0.008218,0.008218,0.008218
